2023-10-01 22:15:52,566.bbq_producer.INFO ==================================================
2023-10-01 22:15:52,566.bbq_producer.INFO Today is 2023-10-01 at 10:15 PM
2023-10-01 22:15:52,566.bbq_producer.INFO Running on: nt Windows 10
2023-10-01 22:15:52,566.bbq_producer.INFO Python version:  3.11.5
2023-10-01 22:15:52,566.bbq_producer.INFO Python path: C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.1520.0_x64__qbz5n2kfra8p0
2023-10-01 22:15:52,566.bbq_producer.INFO Working dir: C:\Users\bakar\44-671\.venv\streaming-06-smart-smoker2
2023-10-01 22:15:52,566.bbq_producer.INFO ==================================================
2023-10-01 22:15:52,595.bbq_producer.INFO Skipping header row
2023-10-01 22:15:52,595.bbq_producer.INFO  [x] Sent ('05/22/21 12:20:15', '84.2') to 01-smoker
2023-10-01 22:15:52,595.bbq_producer.INFO  [x] Sent ('05/22/21 12:20:15', 'No temp recorded') to 02-food-A
2023-10-01 22:15:52,595.bbq_producer.INFO  [x] Sent ('05/22/21 12:20:15', 'No temp recorded') to 03-food-B
2023-10-01 22:15:52,595.bbq_producer.INFO  [x] Sent ('05/22/21 12:20:20', '84.2') to 01-smoker
2023-10-01 22:15:52,595.bbq_producer.INFO  [x] Sent ('05/22/21 12:20:20', 'No temp recorded') to 02-food-A
2023-10-01 22:15:52,595.bbq_producer.INFO  [x] Sent ('05/22/21 12:20:20', 'No temp recorded') to 03-food-B
2023-10-01 22:15:52,595.bbq_producer.INFO  [x] Sent ('05/22/21 12:21:10', '87.6') to 01-smoker
2023-10-01 22:15:52,595.bbq_producer.INFO  [x] Sent ('05/22/21 12:21:10', 'No temp recorded') to 02-food-A
2023-10-01 22:15:52,595.bbq_producer.INFO  [x] Sent ('05/22/21 12:21:10', 'No temp recorded') to 03-food-B
2023-10-01 22:15:52,595.bbq_producer.INFO  [x] Sent ('05/22/21 12:21:15', '87.6') to 01-smoker
2023-10-01 22:15:52,595.bbq_producer.INFO  [x] Sent ('05/22/21 12:21:15', 'No temp recorded') to 02-food-A
2023-10-01 22:15:52,595.bbq_producer.INFO  [x] Sent ('05/22/21 12:21:15', 'No temp recorded') to 03-food-B
2023-10-01 22:15:52,595.bbq_producer.INFO  [x] Sent ('05/22/21 12:22:10', '86.3') to 01-smoker
2023-10-01 22:15:52,595.bbq_producer.INFO  [x] Sent ('05/22/21 12:22:10', 'No temp recorded') to 02-food-A
2023-10-01 22:15:52,595.bbq_producer.INFO  [x] Sent ('05/22/21 12:22:10', 'No temp recorded') to 03-food-B
2023-10-01 22:15:52,595.bbq_producer.INFO  [x] Sent ('05/22/21 12:22:15', '86.3') to 01-smoker
2023-10-01 22:15:52,595.bbq_producer.INFO  [x] Sent ('05/22/21 12:22:15', 'No temp recorded') to 02-food-A
2023-10-01 22:15:52,595.bbq_producer.INFO  [x] Sent ('05/22/21 12:22:15', 'No temp recorded') to 03-food-B
2023-10-01 22:15:52,595.bbq_producer.INFO  [x] Sent ('05/22/21 12:23:10', '92.0') to 01-smoker
2023-10-01 22:15:52,595.bbq_producer.INFO  [x] Sent ('05/22/21 12:23:10', 'No temp recorded') to 02-food-A
2023-10-01 22:15:52,595.bbq_producer.INFO  [x] Sent ('05/22/21 12:23:10', 'No temp recorded') to 03-food-B
2023-10-01 22:15:52,595.bbq_producer.INFO  [x] Sent ('05/22/21 12:23:15', '92.0') to 01-smoker
2023-10-01 22:15:52,595.bbq_producer.INFO  [x] Sent ('05/22/21 12:23:15', 'No temp recorded') to 02-food-A
2023-10-01 22:15:52,595.bbq_producer.INFO  [x] Sent ('05/22/21 12:23:15', 'No temp recorded') to 03-food-B
2023-10-01 22:15:52,610.bbq_producer.INFO  [x] Sent ('05/22/21 12:24:10', '96.8') to 01-smoker
2023-10-01 22:15:52,610.bbq_producer.INFO  [x] Sent ('05/22/21 12:24:10', 'No temp recorded') to 02-food-A
2023-10-01 22:15:52,611.bbq_producer.INFO  [x] Sent ('05/22/21 12:24:10', 'No temp recorded') to 03-food-B
